Year,Date,Opponent,Score,Result,Location,stadium
2011,2012-01-08,DEN,23-29,W,Away,Sports Authority Field at Mile High
2012,2012-09-09,DEN,19-31,W,Away,Sports Authority Field at Mile High
2012,2012-09-16,NYJ,27-10,W,Home,Heinz Field
2012,2012-09-23,OAK,31-34,W,Away,O.co Coliseum
2012,2012-10-07,PHI,16-14,W,Home,Heinz Field
2012,2012-10-11,TEN,23-26,W,Away,LP Field
2012,2012-10-21,CIN,24-17,L,Away,Paul Brown Stadium
2012,2012-10-28,WAS,27-12,W,Home,Heinz Field
2012,2012-11-04,NYG,24-20,L,Away,MetLife Stadium
2012,2012-11-12,KC,16-13,W,Home,Heinz Field
2012,2012-11-18,BAL,10-13,L,Home,Heinz Field
2012,2012-11-25,CLE,14-20,W,Away,Cleveland Browns Stadium
2012,2012-12-02,BAL,23-20,L,Away,M&T Bank Stadium
2012,2012-12-09,SD,24-34,L,Home,Heinz Field
2012,2012-12-16,DAL,24-27,W,Away,Cowboys Stadium
2012,2012-12-23,CIN,10-13,L,Home,Heinz Field
2012,2012-12-30,CLE,24-10,W,Home,Heinz Field
2013,2013-09-08,TEN,9-16,L,Home,Heinz Field
2013,2013-09-16,CIN,10-20,W,Away,Paul Brown Stadium
2013,2013-09-22,CHI,23-40,L,Home,Heinz Field
2013,2013-09-29,MIN,27-34,W,Away,Wembley Stadium
2013,2013-10-13,NYJ,19-6,L,Away,MetLife Stadium
2013,2013-10-20,BAL,19-16,W,Home,Heinz Field
2013,2013-10-27,OAK,18-21,W,Away,O.co Coliseum
2013,2013-11-03,NE,31-55,W,Away,Gillette Stadium
2013,2013-11-10,BUF,23-10,W,Home,Heinz Field
2013,2013-11-17,DET,37-27,W,Home,Heinz Field
2013,2013-11-24,CLE,27-11,L,Away,FirstEnergy Stadium
2013,2013-11-28,BAL,20-22,W,Away,M&T Bank Stadium
2013,2013-12-08,MIA,28-34,L,Home,Heinz Field
2013,2013-12-15,CIN,30-20,W,Home,Heinz Field
2013,2013-12-22,GB,38-31,L,Away,Lambeau Field
2013,2013-12-29,CLE,20-7,W,Home,Heinz Field
2014,2014-09-07,CLE,30-27,W,Home,Heinz Field
2014,2014-09-11,BAL,6-26,W,Away,M&T Bank Stadium
2014,2014-09-21,CAR,37-19,L,Away,Bank of America Stadium
2014,2014-09-28,TB,24-27,L,Home,Heinz Field
2014,2014-10-05,JAX,17-9,L,Away,EverBank Field
2014,2014-10-12,CLE,10-31,W,Away,FirstEnergy Stadium
2014,2014-10-20,HOU,30-23,W,Home,Heinz Field
2014,2014-10-26,IND,51-34,W,Home,Heinz Field
2014,2014-11-02,BAL,43-23,W,Home,Heinz Field
2014,2014-11-09,NYJ,13-20,W,Away,MetLife Stadium
2014,2014-11-17,TEN,27-24,L,Away,LP Field
2014,2014-11-30,NO,32-35,L,Home,Heinz Field
2014,2014-12-07,CIN,42-21,L,Away,Paul Brown Stadium
2014,2014-12-14,ATL,27-20,L,Away,Georgia Dome
2014,2014-12-21,KC,20-12,W,Home,Heinz Field
2014,2014-12-28,CIN,27-17,W,Home,Heinz Field
2014,2015-01-03,BAL,17-30,L,Home,Heinz Field
2015,2015-09-10,NE,21-28,W,Away,Gillette Stadium
2015,2015-09-20,SF,43-18,W,Home,Heinz Field
2015,2015-09-27,STL,12-6,L,Away,Edward Jones Dome
2015,2015-10-01,BAL,20-23,L,Home,Heinz Field
2015,2015-10-12,SD,24-20,L,Away,Qualcomm Stadium
2015,2015-10-18,ARI,25-13,W,Home,Heinz Field
2015,2015-10-25,KC,13-23,W,Away,Arrowhead Stadium
2015,2015-11-01,CIN,10-16,L,Home,Heinz Field
2015,2015-11-08,OAK,38-35,W,Home,Heinz Field
2015,2015-11-15,CLE,30-9,W,Home,Heinz Field
2015,2015-11-29,SEA,30-39,W,Away,CenturyLink Field
2015,2015-12-06,IND,45-10,W,Home,Heinz Field
2015,2015-12-13,CIN,33-20,L,Away,Paul Brown Stadium
2015,2015-12-20,DEN,34-27,W,Home,Heinz Field
2015,2015-12-27,BAL,17-20,W,Away,M&T Bank Stadium
2015,2016-01-03,CLE,28-12,L,Away,FirstEnergy Stadium
2015,2016-01-09,CIN,18-16,L,Away,Paul Brown Stadium
2015,2016-01-17,DEN,16-23,W,Away,Sports Authority Field at Mile High
2016,2016-09-12,WAS,38-16,L,Away,FedExField
2016,2016-09-18,CIN,24-16,W,Home,Heinz Field
2016,2016-09-25,PHI,3-34,W,Away,Lincoln Financial Field
2016,2016-10-02,KC,43-14,W,Home,Heinz Field
2016,2016-10-09,NYJ,31-13,W,Home,Heinz Field
2016,2016-10-16,MIA,15-30,W,Away,Hard Rock Stadium
2016,2016-10-23,NE,16-27,L,Home,Heinz Field
2016,2016-11-06,BAL,14-21,W,Away,M&T Bank Stadium
2016,2016-11-13,DAL,30-35,L,Home,Heinz Field
2016,2016-11-20,CLE,24-9,L,Away,FirstEnergy Stadium
2016,2016-11-24,IND,28-7,L,Away,Lucas Oil Stadium
2016,2016-12-04,NYG,24-14,W,Home,Heinz Field
